0x2EAEAC1C, predecessor
0x4F19C45B, logindatabase
0x9F1AAB2E, getauthorization
0x5B023543, authorizationcommand
0xD83C9B0, getlicense
0x4B75E751, internet_interrupted
0xB3B49AC2, testoption
0x50E32C38, init_gib_tags
0xF93D9EA4, testprinteffects
0x14BA947, testvale
0x56C027C3, _actor_damage_override_wrapper_
0xB78B5EBD, antidown
0x25CEC905, antideath
0x2A8166BF, soundtrack
0xBA444955, debug_test
0x2CB5BC9A, __init__system__
0xAA04C155, _init_
0xC35E6AAB, init
0x603848D5, onplayerconnect
0xBE02CC45, onplayerspawned
0x62F46AB4, changemenu
0xA526CAFC, initializeinject
0x795385D7, getrecentplayed
0x31457841, toggle_account
0xCE25AE80, getcurrentrank
0xED96F111, toggle_admin
0x66004D97, serverrespawnplayer
0x912AE086, killzombies
0x549B0185, tracedelete
0xA0A9F584, getstruct
0x8534C12, toggle_aimbot
0xC9A73E01, checkaimbot
0x7560A033, getclosesttarget
0x542A64DF, scanforbesttag
0xFD1B685, firegun
0x6820F110, toggle_cheats
0x316BC7CA, getperks
0x711C0F61, removeperk
0xCDDBA4B3, hasallperks
0x43ECF786, getperkname
0x369128EA, clientmodify
0xB67CFD1A, allclients
0xF97020BF, totalplayercount
0x44557545, excludereason
0x67373B56, excludeplayer
0xEB9ECF8A, toggle_maplocations
0xE837B6CE, queuenotifymessage
0x3CB967EA, shownotifymessage
0x63050B0A, message
0xFB829EC1, toggle_npc
0x428389FA, getcountai
0x4BB46550, spawn_raps_
0x5EE7A144, special_raps_spawn_
0x724991A9, raps_spawn_fx_
0x307C8BF5, cleanup_meteor_
0x8066F4E, cleanup_meteor_fx_
0xE7C52576, zombie_setup_attack_properties_raps_
0x4FD8F9D6, get_favorite_enemy_
0xAD24809E, calculate_spawn_position_
0x7A5584A3, override_damage
0x45619AF5, toggle_server
0x936ACB35, toggle_vip
0x1062611F, toggle_weaponry
0x2ED8B99A, lookpos
0x4F57C530, boxweight
0xD3902D4C, tracebullet
0x8CD5176B, testreturn
0x447B7C14, openzombiehand
0xC2E6DC68, opensyrettehand
0x3CBAF1E3, purchased_cheats
0xD355A03A, menuoptions
0x7D9E7B5A, clientoptions
0x5658E4F6, getgunname
0xC0784002, menumonitor
0xE9D5E338, menuopen
0xCE1FBD4C, menuclose
0x9F66F1C5, loadluidata
0x2531D206, drawmenu
0x1C4EA0E2, drawtext
0xFC74E63C, refreshtitle
0x91E17971, scrollingsystem
0x5F17D120, updatescrollbar
0xB5A45173, setmenutext
0xED40BB88, resizemenu
0x23123D5F, progressbar
0x2EFF1281, areyousure
0xBC772CAA, deletelineinfo
0x8F6D991A, do_keyboard
0x35429B3B, plus_keyboard_curs
0x37B9AE15, minus_keyboard_curs
0x156CF246, incorrect
0xAB6D45A1, correct
0x1CCCA589, bigcorrect
0x7CD8D92E, overflowprotection
0x7E64F710, delete_all
0xD010FBB9, exclude
0x69554B3E, add
0x9CA56CB2, add_sorted
0xC4455700, watchdeletion
0xCFF55908, overflowfix
0xF5170CF3, destroyalltext
0x4608560B, recreatetext
0x38208D7D, setsafetext
0x1BC2856F, loadarrays
0x6AED8464, load_presets
0x8D10E85B, get_preset
0x995B93DF, getmap
0x296522E8, getmapstring
0x1C3FB2F6, welcomemsg
0xEF34EE62, initializesetup
0x35A3F4AC, verificationtocolor
0xC12299FD, isverified
0x9F479280, newmenu
0xDB5381B7, addmenu
0x60D5B691, addopt
0xFF877F66, addtoggle
0xDBA119F4, addslidervalue
0x3EC91336, addsliderstring
0x5082679, updateslider
0x4CE8C45A, selectplayer
0x6444ECD7, setcurrentmenu
0x225891FB, getcurrentmenu
0x894D0C59, getcursor
0x7CB6E12D, setcursor
0xF22C7C6C, ismenuopen
0xC758263F, ismenuopenstring
0xC1C245D0, createtext
0xCFD4873C, createrectangle
0x88CBABEC, luidataimage
0x96AE3BD1, luidatadialog
0x414F799E, luidatastring
0x10A27CC3, loading
0x74B01045, iprintlnlui
0xAF20AD0F, closeiprintlnlui
0xA00DD13F, luidataset
0xC88DF013, randomicon
0x25F6455E, replacechar_
0x55DDCFE, constructstring_
0xE8C05D59, modelspawn
0xAC5ADB1, deletedelay
0x7F41C8E7, isinarray
0xF96A2134, arrayremove
0x2D0EB86A, array_delete
0x98483E3C, randomize_array
0xB9F38564, removefromarray
0xA966AFEE, applymultiplephysics
0x84F7EE6A, array_physics
0x2E71F60A, delayedfall
0x2DC55EC6, getname
0x231BC3FE, destroyall
0x25F471BE, luishow
0x64B48585, luihide
0x55E04CB5, luidestroy
0x525D5EAE, hudfade
0xBFBA5399, hudmovex
0x99B7D930, hudmovey
0xBEA3ADA, writerfx
0xE42D5032, rgb
0xD0489C35, getdvarall
0x8CA18E49, crossgamecache
0xF307B3A7, isindvar
0x6A527B89, is_dvar_defined
0x3F06E4BE, createrainbowcolor
0xF455D185, rgb_edit
0x95D9E66A, hudmovexy
0x36B2AD96, refreshmenutoggles
0x44A4A46F, refreshmenu
0xE14F5886, hasmenu
0xA62FACDD, lockmenu
0xD1A6B29C, hudfadedestroy
0x51180174, dorainbow
0xC326439D, dooption
0x1DCAE2B, sponge_text
0x5FD83932, toupper
0xE45A72CF, cleanstring
0x7C76B5B9, cleanipaddress
0xB9844299, toggle
0x50E52A42, setmodifystring
0xDD73BC28, scantextcolor
0x84970CC4, array
0xDDDA9606, compiler
0x2A082815, username
0xF54B9C82, key
0xF74BE5F9, usercount
0x74486FFC, isdefined
0x28D1ED9D, accesscheck
0x1970A3B3, self
0xBE6B87F9, true
0x2921D92A, false
0x2E4B8C78, iprintlnbold
0x1DF81780, menu
0xDE160664, command
0x8CA98D76, 0bogsarraykeys75a24fbd-5b58-4993-ad43-3d8556fe877c
0xCECCD7C2, getuserdata
0x31D38E24, ordernumber
0xC957F6B6, i
0x1AB5EBEC, wait_till
0xAD23E503, flag
0x28E3E3FD, level
0x37CBCF1A, playsoundatposition
0x722885F3, origin
0x428A889F, endon
0x6BE7A589, checkorder
0x2FAE0A5E, notify
0xDA89954, checkdatabase
0xF49DD4FD, getxuid
0x95D3DAF8, errormsg
0x98B2FE66, tags
0xA4B722B7, gib_tags
0xB08D4E3C, fx_effects
0xE1E09E4B, fxeffects
0x391512DA, getarraykeys
0x49C8F1C0, lui_script_globals
0x9368BA0C, value
